Name,Platform,Year_of_Release,Genre,Global_Sales,User_Score,User_Count
Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,0.87,8.8,17
Shining Soul II,GBA,2003,Role-Playing,0.08,8.3,9
Terminator 3: Rise of the Machines,PS2,2003,Action,0.58,6.3,23
Prince of Persia: The Sands of Time,GC,2003,Action,0.32,8.4,41
Mega Man X7,PS2,2003,Action,0.58,5.1,38
I-Ninja,PS2,2003,Platform,0.4,8.3,22
Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,0.59,9.6,116
Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,0.59,7.8,47
Worms 3D,XB,2003,Strategy,0.06,8.4,10
Zoo Tycoon: Complete Collection,PC,2003,Strategy,0.06,8.0,8
ESPN NHL Hockey,XB,2003,Sports,0.11,8.4,24
Yager,XB,2003,Shooter,0.05,9.3,9
Zoids: Legacy,GBA,2003,Role-Playing,0.08,8.9,9
AMF Bowling 2004,XB,2003,Sports,0.3,4.4,8
Pro Race Driver,XB,2003,Racing,0.04,7.5,4
Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,1.34,8.2,63
The Hobbit,GBA,2003,Platform,0.19,9.2,17
Maximo vs Army of Zin,PS2,2003,Platform,0.21,7.8,13
Grooverider: Slot Car Thunder,XB,2003,Racing,0.01,7.3,8
Max Payne,GBA,2003,Shooter,0.03,7.8,13
NASCAR Thunder 2004,XB,2003,Racing,0.23,9.1,15
SWAT: Global Strike Team,XB,2003,Shooter,0.17,6.3,7
Finding Nemo,GBA,2003,Action,2.82,7.0,8
Gotcha Force,GC,2003,Shooter,0.03,8.2,17
Hot Wheels World Race,GC,2003,Racing,0.16,7.0,5
Grand Theft Auto: Vice City,PC,2003,Action,0.04,8.8,1520
Goblin Commander: Unleash the Horde,PS2,2003,Strategy,0.17,8.7,14
Fisherman's Challenge,PS2,2003,Sports,0.04,7.5,4
The Sims,PS2,2003,Simulation,2.77,7.7,46
Mortal Kombat: Tournament Edition,GBA,2003,Fighting,0.01,8.1,8
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,1.29,6.2,5
Final Fantasy X-2,PS2,2003,Role-Playing,5.29,6.6,400
The Great Escape,PS2,2003,Action,0.2,8.0,21
Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,1.36,7.8,30
Metal Arms: Glitch in the System,XB,2003,Shooter,0.17,8.7,15
Buffy the Vampire Slayer: Wrath of the Darkhul King,GBA,2003,Action,0.03,8.6,5
Halo: Combat Evolved,PC,2003,Shooter,0.04,7.4,396
Medal of Honor: Rising Sun,PS2,2003,Shooter,5.13,7.6,100
Midnight Club II,PS2,2003,Racing,1.78,8.5,47
XGRA: Extreme G Racing Association,XB,2003,Racing,0.02,6.8,5
Bionicle,GC,2003,Action,0.21,4.2,5
Crash Nitro Kart,GC,2003,Racing,0.26,7.4,8
Outlaw Volleyball,XB,2003,Sports,0.26,8.4,7
Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003,Sports,0.16,9.0,12
Dynasty Warriors 4,XB,2003,Action,0.16,8.8,18
World Soccer Winning Eleven 7 International,PS2,2003,Sports,2.9,9.0,45
Fatal Frame II: Crimson Butterfly,PS2,2003,Action,0.16,9.2,100
DDRMAX2: Dance Dance Revolution,PS2,2003,Simulation,1.81,8.2,11
Cabela's Deer Hunt: 2004 Season,XB,2003,Sports,0.21,8.4,16
Buffy the Vampire Slayer: Chaos Bleeds,GC,2003,Action,0.03,9.0,9
Jet Grind Radio,GBA,2003,Action,0.03,9.3,6
Max Payne 2: The Fall of Max Payne,PC,2003,Shooter,0.03,9.0,802
Mace Griffin: Bounty Hunter,PS2,2003,Shooter,0.19,8.3,7
NBA Live 2004,GC,2003,Sports,0.27,9.0,4
Crash Nitro Kart,PS2,2003,Racing,1.95,7.7,59
XGRA: Extreme G Racing Association,GC,2003,Racing,0.02,7.0,5
Legacy of Kain: Defiance,XB,2003,Action,0.19,7.9,21
Devil May Cry 2,PS2,2003,Action,1.97,6.6,167
Hunter: The Reckoning Redeemer,XB,2003,Action,0.17,8.6,5
The Italian Job,PS2,2003,Racing,0.23,6.3,4
Aquaman: Battle for Atlantis,GC,2003,Action,0.01,3.1,19
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,1.25,6.2,106
Freedom Fighters,XB,2003,Shooter,0.23,8.2,23
Need for Speed Underground,PS2,2003,Racing,7.2,8.6,171
Tom Clancy's Splinter Cell,PS2,2003,Action,2.65,7.7,102
Medal of Honor: Infiltrator,GBA,2003,Shooter,0.15,7.2,12
Soldier of Fortune II: Double Helix,XB,2003,Shooter,0.23,6.5,13
NBA Street Vol. 2,PS2,2003,Sports,1.95,8.8,70
Def Jam Vendetta,PS2,2003,Fighting,1.94,8.9,41
Jurassic Park: Operation Genesis,PS2,2003,Simulation,0.27,8.9,21
Sonic Adventure DX: Director's Cut,GC,2003,Platform,1.27,7.9,139
Rise of Nations,PC,2003,Strategy,0.04,9.0,274
RoadKill,PS2,2003,Action,0.17,7.9,11
Looney Tunes: Back in Action,GC,2003,Platform,0.17,5.0,4
Superman: Countdown to Apokolips,GBA,2003,Platform,0.04,5.7,6
The Sims: Makin' Magic,PC,2003,Simulation,1.92,8.6,31
Manhunt,PS2,2003,Action,1.28,8.3,136
ESPN NBA Basketball,XB,2003,Sports,0.27,8.2,25
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,2.94,9.0,93
Tom Clancy's Splinter Cell,GC,2003,Action,0.23,8.7,25
ESPN NHL Hockey,PS2,2003,Sports,0.23,7.0,22
Age of Mythology: The Titans,PC,2003,Strategy,0.04,8.7,119
Harry Potter and the Sorcerer's Stone,PS2,2003,Action,0.28,7.6,21
ESPN College Hoops,PS2,2003,Sports,0.16,8.5,8
Tony Hawk's Underground,XB,2003,Sports,1.27,9.1,26
Fugitive Hunter: War on Terror,PS2,2003,Shooter,0.15,5.0,23
Amplitude,PS2,2003,Misc,0.18,8.8,26
Kya: Dark Lineage,PS2,2003,Adventure,0.16,8.9,28
Drome Racers,GC,2003,Racing,0.03,6.6,5
My Street,PS2,2003,Misc,0.24,3.9,14
Tokyo Xtreme Racer DRIFT,PS2,2003,Racing,0.18,8.6,15
Red Faction II,GC,2003,Shooter,0.03,7.3,4
Corvette,XB,2003,Racing,0.24,8.6,12
Def Jam Vendetta,GC,2003,Fighting,0.25,8.5,8
Sonic Heroes,GC,2003,Platform,1.6,7.8,125
Pulse Racer,XB,2003,Racing,0.02,2.8,17
MVP Baseball 2003,XB,2003,Sports,0.2,9.0,9
Star Wars Jedi Knight: Jedi Academy,PC,2003,Shooter,0.03,8.6,293
EyeToy Play,PS2,2003,Misc,4.2,7.5,22
XIII,XB,2003,Shooter,0.25,8.3,15
IHRA Drag Racing 2004,XB,2003,Racing,0.2,7.4,7
Burnout 2: Point of Impact,XB,2003,Racing,0.24,5.1,23
X2: Wolverine's Revenge,XB,2003,Platform,0.21,6.4,9
Resident Evil: Outbreak,PS2,2003,Action,1.45,8.3,94
Billy Hatcher and the Giant Egg,GC,2003,Platform,0.25,8.7,31
Tiger Woods PGA Tour 2004,GBA,2003,Sports,0.18,7.5,4
Post Mortem,PC,2003,Adventure,0.02,8.0,28
Battlestar Galactica,PS2,2003,Shooter,0.16,6.8,6
EVE Online,PC,2003,Role-Playing,0.2,7.5,280
World Series Baseball 2K3,PS2,2003,Sports,0.25,8.7,19
Mario Golf: Toadstool Tour,GC,2003,Sports,1.53,8.0,56
Goblin Commander: Unleash the Horde,GC,2003,Strategy,0.02,7.8,6
NCAA Football 2004,GC,2003,Sports,0.15,7.5,6
Warcraft III: The Frozen Throne,PC,2003,Strategy,1.54,9.0,713
Harvest Moon: More Friends of Mineral Town,GBA,2003,Simulation,0.2,9.2,40
X2: Wolverine's Revenge,GBA,2003,Platform,0.2,7.2,5
Tom Clancy's Rainbow Six 3,XB,2003,Shooter,1.55,8.5,31
Kirby Air Ride,GC,2003,Racing,1.62,7.9,69
SoulCalibur II,GC,2003,Fighting,1.5,9.1,135
Final Fantasy: Crystal Chronicles,GC,2003,Role-Playing,1.49,8.1,94
Burnout 2: Point of Impact,GC,2003,Racing,0.15,8.5,18
Judge Dredd: Dredd Vs Death,XB,2003,Shooter,0.02,6.7,7
Battle Engine Aquila,PS2,2003,Shooter,0.03,9.0,5
EyeToy: Groove,PS2,2003,Misc,0.18,8.0,5
"Warhammer 40,000: Fire Warrior",PS2,2003,Shooter,0.15,8.3,63
Vexx,PS2,2003,Platform,0.24,7.6,11
Tony Hawk's Underground,PS2,2003,Sports,3.9,8.7,121
Aliens versus Predator: Extinction,PS2,2003,Strategy,0.19,8.4,30
Kill.Switch,XB,2003,Shooter,0.24,8.0,7
Tiger Woods PGA Tour 2004,GC,2003,Sports,0.16,7.8,6
SSX 3,PS2,2003,Sports,1.67,9.1,125
The Sims: Superstar,PC,2003,Simulation,1.68,8.2,25
NBA ShootOut 2004,PS2,2003,Sports,0.26,7.8,8
F-Zero: GP Legend,GBA,2003,Racing,0.16,8.5,18
Broken Sword: The Sleeping Dragon,XB,2003,Adventure,0.02,8.3,12
True Crime: Streets of LA,XB,2003,Action,1.38,7.8,28
NBA Inside Drive 2004,XB,2003,Sports,0.17,8.2,11
Charlie's Angels,GC,2003,Action,0.02,3.3,23
Need for Speed Underground,XB,2003,Racing,1.71,8.7,35
Blackthorne,GBA,2003,Action,0.01,7.6,5
Vietcong,PC,2003,Shooter,0.02,8.7,76
The Hobbit,GC,2003,Platform,0.17,7.3,8
World Series Baseball 2K3,XB,2003,Sports,0.15,8.6,14
Star Ocean: Till The End of Time,PS2,2003,Role-Playing,1.72,7.7,134
Sonic Heroes,PS2,2003,Platform,2.96,7.8,94
Rayman 3: Hoodlum Havoc,PC,2003,Platform,0.03,8.3,70
NCAA Football 2004,PS2,2003,Sports,1.67,8.8,81
Gladius,PS2,2003,Strategy,0.2,8.0,22
Homeworld 2,PC,2003,Strategy,0.03,8.3,128
RoboCop,XB,2003,Shooter,0.02,3.6,12
Tiger Woods PGA Tour 2004,PS2,2003,Sports,1.63,8.8,40
Amped 2,XB,2003,Sports,0.25,7.7,20
FunkMaster Flex's Digital Hitz Factory,PS2,2003,Misc,0.04,8.9,10
The Lord of the Rings: The Return of the King,PS2,2003,Action,3.28,8.7,105
Prince of Persia: The Sands of Time,GBA,2003,Action,0.15,8.8,5
Zoids: Battle Legends,GC,2003,Action,0.15,8.1,14
NHL 2004,XB,2003,Sports,0.18,6.5,31
Uru: Ages Beyond Myst,PC,2003,Adventure,0.02,7.6,29
True Crime: Streets of LA,PS2,2003,Action,3.27,8.0,94
Secret Weapons Over Normandy,XB,2003,Simulation,0.25,8.8,4
Lock On: Modern Air Combat,PC,2003,Simulation,0.03,7.5,549
RLH: Run Like Hell,XB,2003,Shooter,0.04,8.0,5
Commandos 3: Destination Berlin,PC,2003,Strategy,0.02,7.6,83
Enter the Matrix,PS2,2003,Action,3.18,8.1,137
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003,Platform,1.67,9.0,85
Railroad Tycoon 3,PC,2003,Strategy,0.04,7.7,57
RollerCoaster Tycoon 2: Triple Thrill Pack,PC,2003,Strategy,0.03,3.2,26
Jak II,PS2,2003,Platform,2.78,8.2,241
The Sum of All Fears,GC,2003,Shooter,0.03,3.4,5
The Sims: Bustin' Out,PS2,2003,Simulation,2.43,8.4,42
IL-2 Sturmovik: Forgotten Battles,PC,2003,Simulation,0.02,8.6,38
Harry Potter: Quidditch World Cup,XB,2003,Sports,0.19,7.5,4
Enter the Matrix,XB,2003,Action,1.2,7.1,75
Need for Speed Underground,GC,2003,Racing,1.21,9.0,45
Backyard Wrestling: Don't Try This at Home,XB,2003,Fighting,0.17,5.0,7
Tao Feng: Fist of the Lotus,XB,2003,Fighting,0.27,6.5,8
Indiana Jones and the Emperor's Tomb,XB,2003,Action,0.18,8.6,17
Final Fantasy Tactics Advance,GBA,2003,Role-Playing,2.13,7.8,212
Mario Party 5,GC,2003,Misc,2.08,8.2,57
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003,Role-Playing,0.27,9.0,59
SoulCalibur II,PS2,2003,Fighting,2.06,8.8,120
Judge Dredd: Dredd Vs Death,PS2,2003,Shooter,0.03,5.3,9
The Lord of the Rings: The Return of the King,XB,2003,Action,1.14,9.1,31
Dai Senryaku VII: Modern Military Tactics,XB,2003,Strategy,0.04,8.8,6
Mission: Impossible - Operation Surma,PS2,2003,Platform,0.28,7.8,10
Legacy of Kain: Defiance,PC,2003,Action,0.01,8.7,67
Boktai: The Sun is in Your Hand,GBA,2003,Role-Playing,0.15,9.6,16
Terminator 3: Rise of the Machines,XB,2003,Action,0.14,2.0,10
State of Emergency,XB,2003,Action,0.17,6.3,11
Mega Man Network Transmission,GC,2003,Platform,0.17,7.6,13
Rogue Ops,PS2,2003,Action,0.23,9.2,6
Karnaaj Rally,GBA,2003,Racing,0.01,9.5,4
Group S Challenge,XB,2003,Racing,0.02,6.0,5
R-Type Final,PS2,2003,Shooter,0.19,9.1,21
Midway Arcade Treasures,GC,2003,Misc,0.17,8.2,5
Rugby 2004,PS2,2003,Sports,0.22,6.8,65
Grabbed by the Ghoulies,XB,2003,Action,0.14,7.3,28
Dynasty Warriors 4,PS2,2003,Action,2.11,9.3,201
Dragon Ball Z: Budokai 2,PS2,2003,Fighting,2.41,8.2,92
Donkey Konga,GC,2003,Misc,1.15,8.3,21
Robin Hood: Defender of the Crown,PS2,2003,Strategy,0.19,5.6,5
Hulk,GC,2003,Action,0.19,7.4,7
Praetorians,PC,2003,Strategy,0.04,8.2,38
Donkey Kong Country,GBA,2003,Platform,2.04,8.9,53
NFL Blitz Pro,PS2,2003,Sports,0.23,8.5,14
James Bond 007: Everything or Nothing,GBA,2003,Shooter,0.17,8.3,11
Kung Fu Chaos,XB,2003,Fighting,0.28,8.5,27
The Simpsons: Road Rage,GBA,2003,Racing,1.19,6.8,9
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,1.23,7.3,6
EverQuest Online Adventures: Frontiers,PS2,2003,Role-Playing,0.19,8.5,17
Futurama,XB,2003,Platform,0.05,6.9,14
Prince of Persia: The Sands of Time,PS2,2003,Action,2.22,8.8,204
Siren,PS2,2003,Adventure,0.18,7.8,41
Medal of Honor: Rising Sun,XB,2003,Shooter,1.17,5.8,28
Spawn: Armageddon,XB,2003,Action,0.17,9.2,5
Tak and the Power of Juju,PS2,2003,Platform,1.15,9.0,28
Summer Heat Beach Volleyball,PS2,2003,Sports,0.28,7.7,19
Tom Clancy's Ghost Recon,GC,2003,Shooter,0.15,5.4,17
Rayman 3,GBA,2003,Platform,0.14,7.8,8
NHL Hitz Pro,PS2,2003,Sports,0.19,8.9,13
Deer Hunter,PS2,2003,Sports,0.28,8.5,17
Bloody Roar Extreme,XB,2003,Fighting,0.04,8.6,9
Stake: Fortune Fighters,XB,2003,Fighting,0.02,3.7,6
Castlevania: Aria of Sorrow,GBA,2003,Platform,0.28,9.1,127
Summon Night: Swordcraft Story,GBA,2003,Role-Playing,0.02,8.1,19
Jurassic Park: Operation Genesis,PC,2003,Simulation,0.02,8.7,55
NBA Live 2004,PS2,2003,Sports,2.03,7.7,41
Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,2.19,9.2,317
BlowOut,PS2,2003,Shooter,0.23,6.2,5
American Idol,GBA,2003,Misc,0.22,4.8,5
Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,0.18,8.9,47
Tenchu: Wrath of Heaven,PS2,2003,Action,1.14,8.4,38
Cabela's Dangerous Hunts,PS2,2003,Sports,1.17,8.4,37
Naruto: Ninja Council,GBA,2003,Action,0.22,7.1,9
Muppets Party Cruise,GC,2003,Misc,0.02,8.0,5
Pokémon Colosseum,GC,2003,Role-Playing,2.54,8.0,89
ESPN NFL 2K5,XB,2004,Sports,1.63,9.1,93
Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Fighting,0.22,8.0,5
Samurai Western,PS2,2004,Action,0.08,7.6,5
Syphon Filter: The Omega Strain,PS2,2004,Shooter,0.76,6.9,30
That's So Raven,GBA,2004,Adventure,0.76,7.6,5
Galleon: Islands of Mystery,XB,2004,Action,0.03,7.0,10
Mortal Kombat: Deception,XB,2004,Fighting,0.76,8.8,24
Fallout: Brotherhood of Steel,PS2,2004,Role-Playing,0.07,4.1,51
Worms Forts: Under Siege,XB,2004,Strategy,0.07,8.0,6
NCAA Football 2005,GC,2004,Sports,0.22,9.0,5
Armored Core: Nine Breaker,PS2,2004,Simulation,0.07,8.2,5
Graffiti Kingdom,PS2,2004,Role-Playing,0.03,7.1,12
NHL 2005,GC,2004,Sports,0.07,5.6,5
Serious Sam: Next Encounter,GC,2004,Shooter,0.02,8.4,9
The Polar Express,GC,2004,Adventure,0.11,4.7,9
Army Men: RTS,GC,2004,Strategy,0.07,8.5,4
Obscure,PS2,2004,Adventure,0.07,8.9,39
Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,0.24,9.2,60
Mega Man X: Command Mission,GC,2004,Role-Playing,0.12,7.3,12
NBA Ballers,PS2,2004,Sports,1.66,9.2,19
Tony Hawk's Underground 2,XB,2004,Sports,0.75,7.8,12
Forgotten Realms: Demon Stone,XB,2004,Action,0.09,6.5,6
Cabela's Big Game Hunter 2005 Adventures,GC,2004,Sports,0.07,8.8,9
Donkey Konga 2,GC,2004,Misc,0.39,6.0,9
Future Tactics: The Uprising,PS2,2004,Strategy,0.07,6.0,6
The Urbz: Sims in the City,GBA,2004,Simulation,0.62,9.2,25
Mario Party 6,GC,2004,Misc,1.65,7.9,51
Trigger Man,PS2,2004,Shooter,0.16,4.8,16
Smash Court Tennis Pro Tournament 2,PS2,2004,Sports,0.13,9.1,12
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004,Adventure,0.34,8.6,20
Hamtaro: Ham-Ham Games,GBA,2004,Sports,0.22,7.8,6
Prince of Persia: Warrior Within,PS2,2004,Action,1.64,8.5,120
Tak 2: The Staff of Dreams,PS2,2004,Platform,0.62,8.0,10
Hitman: Contracts,XB,2004,Shooter,0.34,8.8,15
The Dukes of Hazzard: Return of the General Lee,XB,2004,Racing,0.08,7.0,4
Shark Tale,PS2,2004,Action,0.75,6.5,6
Driv3r,XB,2004,Racing,0.76,4.7,69
Leisure Suit Larry: Magna Cum Laude,PS2,2004,Adventure,0.34,6.3,18
ESPN College Hoops 2K5,XB,2004,Sports,0.38,8.3,11
Ping Pals,DS,2004,Misc,0.11,3.9,26
Shellshock: Nam '67,XB,2004,Shooter,0.22,7.0,14
Ape Escape Academy,PSP,2004,Misc,0.33,5.8,4
Dora the Explorer: Super Spies,GBA,2004,Platform,0.61,8.0,5
Mega Man Anniversary Collection,GC,2004,Platform,0.42,8.8,17
Magna Carta: Tears of Blood,PS2,2004,Role-Playing,0.22,7.0,22
Star Wars: Battlefront,PS2,2004,Shooter,3.61,8.7,142
Arc the Lad: End of Darkness,PS2,2004,Role-Playing,0.06,4.2,10
Greg Hastings' Tournament Paintball,XB,2004,Shooter,0.54,9.2,42
Texas Hold 'Em Poker,GBA,2004,Misc,0.61,6.8,6
Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004,Action,0.06,6.2,6
Test Drive: Eve of Destruction,XB,2004,Racing,0.09,8.7,7
World Soccer Winning Eleven 8 International,XB,2004,Sports,0.09,8.4,11
Dance Dance Revolution Ultramix 2,XB,2004,Simulation,0.42,7.1,7
Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,2004,Shooter,0.06,7.8,10
Saturday Night Speedway,PS2,2004,Racing,0.2,8.7,7
Tak 2: The Staff of Dreams,GC,2004,Platform,0.33,8.6,8
Atelier Iris: Eternal Mana,PS2,2004,Role-Playing,0.15,7.7,38
Prince of Persia: Warrior Within,XB,2004,Action,0.8,7.5,35
Half-Life 2,PC,2004,Shooter,2.37,9.1,8665
James Bond 007: Everything or Nothing,GC,2004,Shooter,0.42,8.2,25
Hitman: Contracts,PS2,2004,Shooter,0.8,8.3,43
Pro Fishing Challenge,XB,2004,Sports,0.02,9.1,9
FIFA Soccer 2005,PS2,2004,Sports,3.7,7.6,56
Dragon Ball Z: Buu's Fury,GBA,2004,Action,0.61,8.9,39
Terminator 3: The Redemption,PS2,2004,Shooter,0.17,8.0,11
Lemony Snicket's A Series of Unfortunate Events,GBA,2004,Platform,0.42,8.0,4
Classic NES Series: Castlevania,GBA,2004,Platform,0.33,8.6,12
Tony Hawk's Underground 2,PS2,2004,Sports,2.37,8.8,55
Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,0.81,8.2,17
James Bond 007: Everything or Nothing,PS2,2004,Shooter,2.31,9.1,51
NCAA Football 2005,PS2,2004,Sports,1.62,8.8,35
Gallop Racer 2004,PS2,2004,Sports,0.06,8.7,12
High Rollers Casino,XB,2004,Misc,0.13,7.8,4
The Urbz: Sims in the City,XB,2004,Simulation,0.34,6.5,10
Pokemon Dash,DS,2004,Racing,0.77,5.9,34
Strike Force Bowling,PS2,2004,Sports,0.62,6.8,4
Shrek 2,XB,2004,Platform,0.55,8.4,5
XGRA: Extreme G-Racing Association,PS2,2004,Racing,0.62,8.6,8
Phantom Dust,XB,2004,Action,0.11,8.5,35
Mega Man Zero 3,GBA,2004,Platform,0.22,9.0,22
FlatOut,PS2,2004,Racing,0.38,8.5,16
Karaoke Revolution,XB,2004,Misc,0.09,8.5,4
Madden NFL 2005,GBA,2004,Sports,0.39,7.6,5
Spider-Man 2,PS2,2004,Action,3.41,8.9,106
The Suffering,PS2,2004,Action,0.42,8.9,40
Castle Shikigami 2,PS2,2004,Shooter,0.02,7.4,8
Wings of War,XB,2004,Simulation,0.06,5.0,5
Need for Speed Underground 2,XB,2004,Racing,2.28,8.7,27
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,2.25,9.4,306
RPG Maker 3,PS2,2004,Role-Playing,0.06,7.9,14
NFL Street 2,PS2,2004,Sports,1.61,8.7,20
Red Dead Revolver,XB,2004,Shooter,0.55,8.5,26
Capcom Fighting Evolution,PS2,2004,Fighting,0.2,4.8,5
NHL 2005,XB,2004,Sports,0.16,6.2,11
The SpongeBob SquarePants Movie,XB,2004,Platform,0.54,8.5,8
The Lord of the Rings: The Third Age,GBA,2004,Role-Playing,0.22,8.5,12
The Suffering,XB,2004,Action,0.22,8.8,23
Catwoman,PS2,2004,Action,0.17,6.9,13
Viewtiful Joe 2,GC,2004,Action,0.22,8.3,19
ESPN NBA 2K5,PS2,2004,Sports,1.59,7.5,36
UFC: Sudden Impact,PS2,2004,Fighting,0.18,7.7,7
World Tour Soccer 2006,PS2,2004,Sports,0.17,6.0,7
Fight Club,XB,2004,Fighting,0.11,4.7,13
Beyblade G-Revolution,GBA,2004,Action,0.2,7.8,5
Ty the Tasmanian Tiger 2: Bush Rescue,XB,2004,Platform,0.11,8.8,4
Atari Anthology,PS2,2004,Misc,0.4,4.3,6
Knights of Honor,PC,2004,Strategy,0.03,9.1,89
NCAA Football 2005,XB,2004,Sports,0.68,8.0,12
Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,0.64,6.6,12
Mega Man Anniversary Collection,PS2,2004,Platform,0.59,9.0,20
Asphalt: Urban GT,DS,2004,Racing,0.59,7.5,13
Shark Tale,GBA,2004,Action,0.68,9.0,4
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,0.68,8.7,54
Spyro: A Hero's Tail,PS2,2004,Platform,0.64,8.0,44
Serious Sam: Next Encounter,PS2,2004,Shooter,0.07,7.8,17
Crash: Twinsanity,PS2,2004,Platform,0.64,8.0,129
Leisure Suit Larry: Magna Cum Laude,XB,2004,Adventure,0.17,6.4,13
Baldur's Gate: Dark Alliance,GBA,2004,Role-Playing,0.03,6.5,11
MX Unleashed,PS2,2004,Racing,1.92,9.2,46
Harry Potter and the Prisoner of Azkaban,GC,2004,Action,0.38,7.3,8
GoldenEye: Rogue Agent,PS2,2004,Shooter,0.64,7.0,32
Call of Duty: Finest Hour,GC,2004,Shooter,0.4,8.9,13
MTV Music Generator 3: This Is the Remix,XB,2004,Misc,0.08,5.4,10
Mario Pinball Land,GBA,2004,Misc,0.69,4.9,11
NBA Live 2005,PS2,2004,Sports,2.59,8.1,44
Seven Samurai 20XX,PS2,2004,Action,0.08,7.0,6
Battlefield Vietnam,PC,2004,Shooter,0.03,7.5,133
Naruto: Ultimate Ninja 2,PS2,2004,Fighting,0.57,7.9,27
Fallout Trilogy,PC,2004,Role-Playing,0.02,8.9,31
Mortal Kombat: Deception,PS2,2004,Fighting,1.88,8.5,90
MechAssault 2: Lone Wolf,XB,2004,Simulation,0.36,7.5,23
NCAA March Madness 2005,PS2,2004,Sports,0.53,8.3,13
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,Adventure,0.7,7.5,39
The Polar Express,PS2,2004,Adventure,0.23,4.3,6
Rumble Roses,PS2,2004,Fighting,0.39,8.5,20
Thief: Deadly Shadows,XB,2004,Action,0.17,7.3,12
Test Drive: Eve of Destruction,PS2,2004,Racing,0.23,9.1,23
James Bond 007: Everything or Nothing,XB,2004,Shooter,0.64,7.4,27
X-Men Legends,PS2,2004,Role-Playing,1.93,8.5,69
Kuon,PS2,2004,Adventure,0.02,7.7,9
Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,0.57,7.0,12
Suikoden IV,PS2,2004,Role-Playing,0.66,7.3,47
CSI: Crime Scene Investigation,XB,2004,Adventure,0.12,7.3,4
Tenchu: Return From Darkness,XB,2004,Action,0.21,7.0,6
The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,0.58,8.2,60
Custom Robo,GC,2004,Role-Playing,0.37,8.1,27
The Urbz: Sims in the City,GC,2004,Simulation,0.4,8.4,16
Street Fighter Anniversary Collection,PS2,2004,Fighting,0.66,8.7,20
Neo Contra,PS2,2004,Shooter,0.21,7.1,8
The Lord of the Rings: The Battle for Middle-Earth,PC,2004,Strategy,0.07,8.6,199
Kessen III,PS2,2004,Strategy,0.07,8.1,20
Zoo Keeper,DS,2004,Puzzle,0.16,7.5,13
Fable,XB,2004,Role-Playing,2.66,8.5,268
Need for Speed Underground 2,PC,2004,Racing,0.07,8.5,407
Wrath Unleashed,PS2,2004,Strategy,0.07,6.0,6
Shining Force: Resurrection of the Dark Dragon,GBA,2004,Role-Playing,0.08,8.8,15
NFL Street,XB,2004,Sports,0.66,8.8,9
Hot Shots Golf: Open Tee,PSP,2004,Sports,1.96,8.7,34
Dragon Ball Z: Budokai 3,PS2,2004,Fighting,1.94,8.9,137
Worms Forts: Under Siege,PS2,2004,Strategy,0.11,8.0,15
Fight Night 2004,XB,2004,Fighting,0.68,8.7,20
Mafia,XB,2004,Action,0.23,7.7,22
Star Wars: Battlefront,PC,2004,Shooter,0.21,3.5,1509
FIFA Soccer 2005,GBA,2004,Sports,0.08,7.8,5
Headhunter: Redemption,XB,2004,Action,0.02,6.8,4
GoldenEye: Rogue Agent,GC,2004,Shooter,0.36,6.7,14
Viewtiful Joe 2,PS2,2004,Action,0.21,7.7,17
World Tour Soccer 2005,PS2,2004,Sports,0.16,9.0,6
Burnout 3: Takedown,PS2,2004,Racing,2.68,9.1,271
FlatOut,XB,2004,Racing,0.17,8.2,21
Yoshi Topsy-Turvy,GBA,2004,Platform,0.65,6.6,5
Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,0.37,8.7,15
ESPN NFL 2K5,PS2,2004,Sports,2.62,8.2,84
Knight's Apprentice: Memorick's Adventures,XB,2004,Action,0.02,4.5,8
Mafia,PS2,2004,Action,0.7,7.6,62
Jak 3,PS2,2004,Platform,1.85,8.6,246
Def Jam: Fight for NY,PS2,2004,Fighting,1.76,8.9,73
